"","carat","cut","color","clarity","depth","table","price","x","y","z"
"28",0.37,"Very Good","F","VS2",63.3,56,957,4.63,4.56,2.91
"29",1.33,"Ideal","H","VS2",62.6,57,7850,7.02,6.98,4.38
"30",0.37,"Very Good","G","SI2",63.3,55,624,4.61,4.58,2.91
"31",0.7,"Ideal","J","VS2",61.8,53,1874,5.73,5.76,3.55
"32",0.71,"Premium","F","VS2",62.1,58,2777,5.67,5.7,3.53
"33",1.17,"Ideal","J","VS1",62.5,57,5242,6.68,6.63,4.16
"34",0.5,"Premium","E","VS2",61.4,59,1746,5.13,5.09,3.14
"35",0.38,"Very Good","E","VS2",60.5,58,866,4.66,4.7,2.83
"36",0.3,"Ideal","F","VS2",62,55,776,4.33,4.31,2.68
"37",0.56,"Ideal","I","IF",61.9,54,1689,5.29,5.34,3.29
"38",1,"Very Good","E","SI1",61.1,60,5082,6.42,6.47,3.94
"39",0.3,"Ideal","D","VS2",62.3,56,790,4.31,4.29,2.68
"40",0.33,"Ideal","E","VS2",61.9,54,928,4.47,4.42,2.75
"41",0.51,"Very Good","E","VVS1",59.7,59,2369,5.19,5.2,3.1
"42",0.57,"Premium","J","VS2",60.2,62,1176,5.4,5.33,3.23
"43",0.7,"Good","I","SI2",63.4,59,1699,5.66,5.57,3.56
"44",0.36,"Ideal","E","SI1",62,57,631,4.53,4.57,2.82
"45",0.53,"Ideal","G","SI1",62.3,55,1308,5.13,5.24,3.23
"46",1.01,"Good","E","SI2",58.5,61,4807,6.51,6.61,3.84
"47",0.35,"Very Good","E","VS1",62.3,60,829,4.5,4.52,2.81
"48",1.09,"Fair","F","SI2",66.3,56,3170,6.47,6.39,4.27
"49",0.31,"Ideal","E","VS1",62,55,800,4.35,4.38,2.7
"50",1.52,"Good","J","VS2",63.3,56,7370,7.27,7.33,4.62
"51",0.34,"Ideal","D","SI1",60.6,56,626,4.51,4.54,2.74
"52",0.53,"Ideal","G","IF",62.7,56,2137,5.23,5.13,3.25
"53",1.16,"Premium","G","VS2",59.9,60,7203,6.88,6.85,4.11
"54",0.24,"Premium","E","VVS1",60.7,58,553,4.01,4.03,2.44
"55",0.34,"Premium","G","VS2",61.2,58,596,4.46,4.5,2.74
"56",0.46,"Very Good","D","SI2",62,60,844,4.89,4.92,3.04
"57",1.09,"Ideal","J","VS2",61.3,57,4131,6.63,6.61,4.06
"58",0.9,"Ideal","D","VS2",63,57,5897,6.14,6.09,3.85
"59",0.54,"Ideal","H","VVS1",60.4,55,1846,5.27,5.32,3.2
"60",0.5,"Very Good","F","SI2",61.4,61,1068,5.09,5.14,3.14
"61",0.71,"Ideal","D","SI2",61,56,2505,5.77,5.8,3.53
"62",2.06,"Premium","I","SI1",60.9,61,14488,8.32,8.16,4.99
"63",1,"Ideal","F","VVS2",61.3,56,5914,6.44,6.41,3.94
"64",1.52,"Ideal","E","SI2",60.1,57,9576,7.53,7.49,4.51
"65",0.71,"Very Good","F","VS2",63.1,58,2588,5.65,5.7,3.58
"66",1.01,"Very Good","E","VVS2",60.2,60,9076,6.46,6.5,3.9
"67",0.76,"Premium","F","SI2",61.8,58,2469,5.83,5.88,3.62
"68",0.5,"Very Good","H","VS2",63,55,1209,5.05,5.08,3.19
"69",0.43,"Ideal","D","VS2",60.7,57,1129,4.91,4.88,2.97
"70",0.51,"Ideal","E","SI1",61.7,56,1732,5.13,5.17,3.18
"71",0.32,"Ideal","G","VVS2",61.6,55,708,4.4,4.43,2.72
"72",1.22,"Good","G","SI2",64,61,4181,6.75,6.68,4.3
"73",0.52,"Very Good","E","VS2",63.4,57,1694,5.16,5.12,3.26
"74",0.7,"Very Good","H","SI2",63.3,56,1890,5.64,5.68,3.58
"75",0.53,"Ideal","G","VVS2",60,57,1865,5.27,5.29,3.17
"76",0.37,"Premium","I","VVS1",61.6,59,681,4.62,4.66,2.86
"77",0.3,"Very Good","D","VVS2",59.3,57,719,4.39,4.41,2.61
"78",1.74,"Good","I","SI2",60.1,64,8731,7.82,7.71,4.67
"79",1.21,"Premium","E","SI1",62.6,58,7203,6.79,6.82,4.26
"80",0.33,"Premium","F","VS2",62.1,59,666,4.4,4.45,2.75
"81",0.54,"Premium","H","VS1",60.8,61,1637,5.29,5.23,3.2
"82",0.4,"Premium","D","VS1",62.5,60,1123,4.66,4.72,2.93
"83",1.01,"Very Good","D","VVS2",63.6,59,9451,6.25,6.32,4
"84",1.05,"Very Good","E","VS2",61.6,58,6803,6.48,6.53,4.01
"85",1,"Ideal","H","SI2",61.4,56,4312,6.46,6.41,3.95
"86",1.16,"Ideal","G","VS1",60.9,55,9248,6.79,6.84,4.15
"87",0.84,"Ideal","D","SI1",62.4,57,3685,6.03,6.08,3.78
"88",0.91,"Premium","E","VS2",61.6,58,4739,6.2,6.18,3.81
"89",0.42,"Good","F","VS1",59.9,65,1088,4.83,4.89,2.91
"90",1.62,"Ideal","G","SI1",62.2,56,12295,7.48,7.53,4.67
"91",0.7,"Ideal","F","VS1",61.6,55,2874,5.75,5.71,3.53
"92",0.32,"Very Good","G","VVS1",58.1,59,842,4.49,4.53,2.62
"93",0.3,"Premium","D","VS2",62.8,59,911,4.28,4.26,2.68
"94",0.91,"Very Good","E","VS2",59.4,59,4795,6.3,6.36,3.76
"95",0.37,"Very Good","E","VVS1",60.9,56,1055,4.65,4.67,2.84
"96",0.56,"Ideal","G","VS2",62,56,1698,5.3,5.28,3.28
"97",0.4,"Ideal","I","VVS2",61.4,56,1240,4.76,4.79,2.93
"98",0.43,"Very Good","E","VVS2",59.3,59,1291,4.95,4.97,2.94
"99",0.58,"Good","F","SI1",63.1,57,1388,5.29,5.33,3.35
"100",0.7,"Fair","H","SI1",64.7,58,2051,5.59,5.54,3.6
"101",0.3,"Very Good","H","VS2",62.6,58,473,4.22,4.28,2.66
"102",0.57,"Premium","E","VS2",63,59,1778,5.29,5.25,3.32
"103",0.6,"Ideal","I","VVS1",62,56,1715,5.39,5.43,3.35
"104",0.3,"Very Good","D","SI1",62.6,56,552,4.24,4.29,2.67
"105",0.5,"Ideal","F","VVS2",60.7,57,1912,5.12,5.16,3.12
"106",0.76,"Ideal","F","VVS2",60.9,57,3716,5.89,5.96,3.61
"107",0.91,"Ideal","E","SI2",61.5,56,3968,6.2,6.23,3.82
"108",0.9,"Premium","G","I1",61.3,59,1777,6.2,6.15,3.78
"109",0.91,"Good","I","VS2",64.3,58,2863,6.05,6.09,3.9
"110",0.38,"Premium","H","VVS1",59.1,58,1033,4.76,4.71,2.8
"111",0.33,"Premium","F","VVS2",62.3,60,901,4.43,4.4,2.75
"112",0.29,"Very Good","F","VVS2",60.8,63,592,4.28,4.31,2.61
"113",1,"Good","I","SI1",65.6,56,4042,6.23,6.3,4.11
"114",0.31,"Ideal","D","VS1",61.9,53,774,4.36,4.4,2.71
"115",2.04,"Premium","I","SI2",59.8,59,14605,8.3,8.23,4.94
"116",0.3,"Premium","H","VS1",60.4,61,675,4.31,4.27,2.59
"117",1.71,"Premium","G","SI2",60.9,58,11351,7.72,7.68,4.69
"118",1.22,"Ideal","I","VS2",59.5,57,5761,6.91,6.97,4.13
"119",0.7,"Ideal","I","VS1",62.7,53.4,2363,5.66,5.74,3.57
"120",1.52,"Premium","E","SI2",61,59,10214,7.39,7.33,4.49
"121",0.36,"Premium","D","VS2",61.8,58,1094,4.58,4.55,2.82
"122",0.9,"Premium","I","VS2",62.4,58,3539,6.16,6.22,3.86
"123",0.72,"Very Good","F","VS1",62.2,58,2804,5.75,5.7,3.56
"124",0.4,"Ideal","G","SI2",61.8,56,654,4.75,4.77,2.94
"125",0.71,"Premium","G","SI2",59.9,59,1808,5.82,5.79,3.48
"126",2.18,"Very Good","G","SI2",61,60,17475,8.29,8.33,5.07
"127",1.55,"Good","J","VS1",62.3,56,8076,7.44,7.52,4.66
"128",0.7,"Ideal","F","SI1",62,55,2415,5.72,5.7,3.54
"129",0.7,"Very Good","E","SI2",59.8,58,2335,5.74,5.76,3.44
"130",1.06,"Ideal","I","VS2",60.3,57,5516,6.61,6.66,4.01
"131",0.54,"Ideal","J","VVS1",62.2,54,1239,5.23,5.25,3.26
"132",1.34,"Ideal","G","VVS2",62,55,11955,7.02,7.08,4.37
"133",1.01,"Good","G","VVS2",63.2,59,7528,6.34,6.38,4.02
"134",0.56,"Ideal","F","VS1",61.7,54,1915,5.28,5.32,3.27
"135",1.3,"Ideal","G","VVS2",62.4,56.1,11633,6.97,7.02,4.36
"136",0.31,"Ideal","E","SI2",60.1,57,558,4.44,4.41,2.66
"137",0.26,"Very Good","D","VS2",59.6,63,420,4.13,4.16,2.47
"138",0.56,"Premium","G","VS1",59.9,60,2013,5.41,5.37,3.23
"139",0.26,"Ideal","F","VVS1",62.4,56,769,4.11,4.1,2.56
"140",1.03,"Ideal","H","I1",61.5,57,3172,6.48,6.52,4
"141",2.17,"Premium","F","SI2",59.3,61,13084,8.6,8.53,5.08
"142",0.31,"Premium","E","VVS2",61.9,58,816,4.35,4.38,2.7
"143",1.2,"Very Good","E","SI1",61.8,56,6534,6.75,6.82,4.19
"144",0.3,"Premium","F","VS2",62.5,58,605,4.26,4.28,2.67
"145",0.53,"Ideal","E","SI1",61.8,56,1607,5.21,5.17,3.21
"146",0.39,"Very Good","H","SI2",60.4,60,588,4.74,4.8,2.88
"147",0.27,"Ideal","E","VVS2",61.5,57,620,4.14,4.18,2.56
"148",1.22,"Good","G","VS2",59.9,61,8533,6.88,6.91,4.13
"149",1.29,"Premium","F","VS1",60.9,58,10530,7.01,6.97,4.26
"150",0.78,"Ideal","I","VS2",60.9,57,2422,5.97,5.92,3.62
"151",1.58,"Premium","D","SI1",62.7,60,13995,7.41,7.37,4.63
"152",0.52,"Ideal","G","VVS2",62.1,57,1835,5.13,5.15,3.19
"153",0.5,"Good","G","SI1",63.9,57,1197,5.02,5.06,3.22
"154",1.22,"Very Good","F","VS2",62.3,57,8575,6.8,6.84,4.25
"155",2.22,"Ideal","I","VS2",61.3,56,18531,8.45,8.36,5.15
"156",0.53,"Very Good","F","SI2",63.2,55,1110,5.17,5.18,3.27
"157",0.9,"Fair","J","SI1",64.6,61,2438,5.92,5.87,3.81
"158",0.39,"Fair","E","SI1",65.6,60,601,4.5,4.56,2.97
"159",0.3,"Ideal","I","VVS2",62.1,56,515,4.29,4.31,2.67
"160",1.06,"Very Good","F","SI1",63.4,58,5520,6.51,6.42,4.1
"161",0.31,"Very Good","F","VVS1",59.4,57,779,4.39,4.43,2.62
"162",0.43,"Premium","F","SI1",62.4,57,1016,4.82,4.79,3
"163",1.5,"Ideal","F","VS2",60.2,55,14281,7.45,7.51,4.5
"164",1.05,"Good","H","SI1",63.1,60,4608,6.42,6.49,4.07
"165",0.31,"Premium","H","SI1",59,57,573,4.44,4.4,2.61
"166",0.38,"Ideal","D","VS1",62.2,57,1067,4.63,4.66,2.89
"167",1.23,"Premium","G","VS1",62.2,58,5786,6.78,6.74,4.27
"168",0.82,"Ideal","F","SI2",62.3,56,2867,5.99,5.95,3.72
"169",0.94,"Very Good","F","SI2",62.3,59,3150,6.23,6.32,3.91
"170",0.5,"Very Good","H","IF",61.3,60,1706,5.08,5.17,3.14
"171",0.43,"Ideal","F","VVS1",62.1,55,1422,4.85,4.81,3
"172",1.01,"Good","D","SI2",64.5,58,4606,6.18,6.26,4.01
"173",0.39,"Ideal","H","IF",61.9,55.6,1039,4.68,4.7,2.91
"174",0.99,"Very Good","D","SI1",62.6,57,5671,6.34,6.37,3.98
"175",0.3,"Ideal","G","SI2",61.7,57,382,4.26,4.3,2.64
"176",0.71,"Ideal","E","SI1",61.3,57,2704,5.81,5.78,3.55
"177",0.7,"Very Good","F","SI1",61.5,58,2373,5.65,5.7,3.49
"178",0.4,"Premium","F","VS1",60.5,60,982,4.76,4.8,2.89
"179",0.29,"Ideal","H","IF",62.2,55,607,4.25,4.28,2.65
"180",0.52,"Very Good","E","VS2",62.3,57,1689,5.1,5.17,3.2
"181",0.92,"Very Good","F","SI2",59.9,60,3625,6.26,6.29,3.76
"182",1.97,"Premium","F","SI2",61.1,58,14410,8.05,8.11,4.94
"183",0.31,"Ideal","D","SI1",62.7,56,571,4.32,4.36,2.72
"184",0.84,"Very Good","G","SI2",62.9,55,2584,5.99,6.12,3.8
"185",1.6,"Premium","G","VS2",61.6,60,13942,7.55,7.49,4.63
"186",2.33,"Premium","H","I1",60.7,58,8220,8.64,8.56,5.22
"187",0.4,"Ideal","J","SI1",61.4,55,612,4.75,4.8,2.93
"188",1.2,"Very Good","F","VS1",58.7,59,9574,6.89,7.07,4.1
"189",0.5,"Ideal","E","VVS2",62.4,54,2346,5.11,5.09,3.18
"190",0.32,"Very Good","E","VVS2",62.4,56,744,4.34,4.38,2.72
"191",0.31,"Premium","D","SI1",60,61,732,4.43,4.41,2.65
"192",0.38,"Premium","F","VS2",60.9,56,1026,4.72,4.67,2.86
"193",1.05,"Very Good","G","VS2",62.8,57,6486,6.45,6.49,4.06
"194",0.51,"Good","E","VS2",61.1,65,1424,5.14,5.11,3.13
"195",0.75,"Ideal","D","SI1",62.3,55,2898,5.83,5.8,3.62
"196",0.53,"Ideal","H","VVS1",61.2,56,1842,5.25,5.27,3.22
"197",1.01,"Premium","F","SI2",62.2,59,5096,6.41,6.38,3.98
"198",1.01,"Fair","E","VS2",64.8,59,4972,6.34,6.26,4.08
"199",0.32,"Premium","H","VVS1",62.5,58,730,4.33,4.37,2.72
"200",0.34,"Ideal","F","VS2",62.1,55,686,4.47,4.51,2.79
"201",2.3,"Premium","H","SI2",60.6,59,14042,8.4,8.37,5.08
"202",0.57,"Premium","G","VS1",60.5,58,1746,5.39,5.32,3.24
"203",1.21,"Very Good","H","VS2",62.9,55,7426,6.75,6.8,4.26
"204",0.52,"Ideal","F","VVS2",62.1,54,1978,5.17,5.2,3.22
"205",0.42,"Premium","E","SI1",59.8,61,926,4.89,4.85,2.91
"206",0.31,"Premium","G","IF",61.4,59,988,4.39,4.34,2.68
"207",1.56,"Ideal","H","SI1",62.4,54,10728,7.48,7.43,4.65
"208",0.52,"Ideal","G","VVS1",61,57,1969,5.18,5.2,3.17
"209",2.01,"Very Good","I","VS2",59.6,62,15919,8.17,8.25,4.89
"210",0.34,"Ideal","F","VS1",60.9,57,723,4.53,4.56,2.77
"211",0.71,"Premium","D","VS1",58.1,62,3090,5.89,5.84,3.41
"212",1.06,"Good","E","SI2",63.9,60,4321,6.45,6.41,4.11
"213",0.31,"Premium","E","VS2",60,59,680,4.35,4.39,2.62
"214",2.14,"Premium","I","VS2",60.7,59,17193,8.33,8.28,5.04
"215",0.31,"Premium","H","SI1",62.4,57,558,4.35,4.31,2.7
"216",0.35,"Premium","E","VVS1",60.7,59,1116,4.58,4.55,2.77
"217",1.22,"Premium","H","SI1",61.8,57,6776,6.86,6.82,4.23
"218",0.39,"Ideal","G","VS2",62.5,54,857,4.67,4.7,2.93
"219",1.1,"Ideal","D","VVS2",61,56,10410,6.67,6.73,4.09
"220",0.5,"Very Good","E","SI2",61.4,58,1154,5.09,5.11,3.13
"221",0.93,"Fair","G","SI2",66.1,58.1,3172,6,6.04,3.98
"222",0.35,"Premium","E","VVS1",63,59,1071,4.48,4.44,2.81
"223",2.15,"Ideal","H","SI2",60.3,59,16146,8.34,8.41,5.05
"224",0.79,"Ideal","I","VS1",61.7,59,2888,5.93,5.96,3.67
"225",0.82,"Ideal","G","SI1",61.8,55,3133,6.02,6.05,3.73
"226",0.37,"Ideal","E","VS1",60.9,56,950,4.65,4.68,2.84
"227",1.52,"Ideal","F","VS2",62.5,55,14915,7.42,7.31,4.6
"228",0.84,"Ideal","G","VS1",61.8,56,4325,6.02,6.11,3.75
"229",1.02,"Very Good","F","VVS2",59.4,59,8627,6.58,6.69,3.94
"230",0.3,"Ideal","F","SI1",62.3,54,641,4.3,4.27,2.67
"231",0.31,"Ideal","I","VS1",62.8,57,628,4.32,4.28,2.7
"232",0.87,"Very Good","I","SI1",63.6,55.8,2791,6.07,6.1,3.87
"233",0.7,"Premium","F","SI2",58.4,61,1966,5.86,5.79,3.4
"234",0.9,"Very Good","H","SI2",63.4,60,3105,6.08,6.03,3.84
"235",0.77,"Ideal","E","SI1",61.6,57,3218,5.91,5.87,3.63
"236",0.34,"Ideal","G","IF",61.6,56,1014,4.48,4.51,2.77
"237",0.31,"Premium","H","VS2",62.7,59,628,4.32,4.29,2.7
"238",0.5,"Good","F","VS2",61.3,61,1447,5.05,5.1,3.11
"239",0.32,"Very Good","F","SI2",63.1,56,540,4.38,4.34,2.75
"240",0.51,"Ideal","E","VVS2",61.7,57,2209,5.11,5.14,3.16
"241",2.06,"Premium","I","SI1",61,58,15517,8.24,8.19,5.01
"242",0.55,"Premium","D","SI1",61.7,59,1728,5.3,5.23,3.25
"243",0.41,"Very Good","F","VVS1",62.3,54,1161,4.75,4.79,2.97
"244",0.28,"Ideal","E","VVS2",62.1,56,646,4.19,4.21,2.61
"245",0.24,"Premium","H","VVS1",61.2,58,432,3.96,4.01,2.44
"246",1.2,"Premium","H","SI1",59.3,60,5822,7,6.92,4.13
"247",1,"Very Good","E","SI1",63.3,57,5113,6.28,6.32,3.99
"248",0.72,"Very Good","G","SI2",60.6,57,2114,5.79,5.86,3.53
"249",1.03,"Ideal","E","SI1",62.2,57,5330,6.48,6.42,4.01
"250",0.4,"Premium","E","VS2",59.3,59,912,4.77,4.81,2.84
"251",1.01,"Very Good","F","VS2",62.7,56,6159,6.37,6.43,4.01
"252",1.16,"Ideal","G","VVS1",60.5,57,9075,6.78,6.83,4.12
"253",0.3,"Premium","H","VS1",62.1,59,491,4.25,4.28,2.65
"254",0.29,"Very Good","E","VS1",60,57,619,4.33,4.34,2.6
"255",0.56,"Premium","G","VS2",62.5,57,1698,5.28,5.25,3.29
"256",1.02,"Premium","E","VVS1",61.5,59,11163,6.46,6.41,3.96
"257",0.78,"Very Good","I","SI1",63.1,56,2228,5.88,5.82,3.69
"258",0.3,"Ideal","I","VS1",61.6,56,473,4.31,4.36,2.67
"259",1.51,"Premium","J","VS2",63,57,7455,7.38,7.29,4.62
"260",0.43,"Ideal","G","VS1",61.6,55.1,1005,4.85,4.89,3
"261",0.51,"Ideal","G","VVS2",62.4,56,1916,5.1,5.13,3.19
"262",0.32,"Premium","G","VS1",62.8,58,828,4.39,4.34,2.74
"263",0.43,"Very Good","G","VS1",59.3,58,998,4.97,5.02,2.96
"264",1.15,"Very Good","J","SI2",63.6,57,4021,6.6,6.64,4.21
"265",1.6,"Very Good","E","SI2",62.5,54,11537,7.5,7.55,4.7
"266",0.6,"Premium","D","SI1",61.5,52,1814,5.5,5.43,3.36
"267",0.3,"Ideal","H","SI1",62.9,53,407,4.28,4.31,2.7
"268",1,"Very Good","H","SI1",60.9,58,5287,6.43,6.46,3.93
"269",2.63,"Very Good","J","I1",62.3,61,10437,8.76,8.81,5.47
"270",0.91,"Good","I","VS2",64.2,55,3287,6.13,6.09,3.92
"271",0.31,"Premium","G","VVS1",62.6,61,1046,4.31,4.28,2.69
"272",1,"Very Good","H","SI2",59.1,62,3575,6.47,6.5,3.83
"273",0.32,"Premium","E","VVS2",59.9,58,1080,4.5,4.45,2.68
"274",0.38,"Premium","J","VVS2",60.5,59,778,4.72,4.69,2.84
"275",0.92,"Premium","H","SI1",62.2,58,3675,6.19,6.23,3.86
"276",0.83,"Premium","F","VS2",60.2,60,3495,6.09,6.04,3.65
"277",0.7,"Fair","I","VS2",66.1,56,1814,5.53,5.48,3.64
"278",1.01,"Ideal","I","VS1",60.3,57,5231,6.51,6.53,3.93
"279",0.5,"Very Good","D","SI1",62.8,53,1436,5.04,5.08,3.18
"280",0.34,"Ideal","E","SI2",61.3,55,454,4.49,4.52,2.76
"281",1.2,"Very Good","I","VVS2",61.7,63,5107,6.72,6.7,4.13
"282",0.5,"Ideal","H","VS2",62.6,52,1408,5.06,5.09,3.18
"283",1.28,"Ideal","G","I1",61.6,57,4509,6.96,6.93,4.28
"284",0.77,"Very Good","J","SI2",61.3,58,2001,5.84,5.91,3.6
"285",0.41,"Good","D","VS2",63.8,55,873,4.7,4.73,3.01
"286",0.34,"Ideal","H","VVS1",61.1,56,751,4.51,4.56,2.77
"287",0.3,"Fair","G","VVS1",58.6,66,790,4.36,4.41,2.57
"288",0.32,"Premium","F","VS2",60.6,59,645,4.4,4.44,2.68
"289",0.5,"Good","H","VVS1",63.5,58,1710,4.98,5.03,3.18
"290",0.36,"Ideal","F","SI1",61.5,56,600,4.59,4.62,2.83
"291",0.3,"Ideal","H","VS1",61.4,57,545,4.31,4.32,2.65
"292",0.73,"Premium","G","VS1",61.5,58,2770,5.79,5.75,3.55
"293",1.85,"Very Good","H","I1",63.3,56,5688,7.8,7.75,4.92
"294",1.5,"Premium","J","SI2",61.3,59,5351,7.38,7.33,4.51
"295",0.52,"Ideal","D","VS2",62.3,56,1919,5.16,5.11,3.2
"296",0.71,"Ideal","D","VS1",60.4,60,3576,5.77,5.82,3.5
"297",0.72,"Ideal","H","SI2",61.8,55,1814,5.79,5.76,3.57
"298",1.2,"Ideal","I","VS2",62.1,57,5914,6.78,6.71,4.19
"299",0.33,"Ideal","F","VVS1",62.4,55,955,4.4,4.42,2.75
"300",0.31,"Very Good","F","VS2",62.7,57,500,4.31,4.36,2.72
"301",0.37,"Very Good","F","SI2",60.7,57,487,4.62,4.67,2.82
"302",1.7,"Ideal","H","VS2",62.8,55,10333,7.61,7.54,4.76
"303",0.27,"Very Good","E","VVS1",62.4,55,591,4.18,4.22,2.62
"304",1.25,"Ideal","E","SI1",61.1,57,6468,6.93,6.89,4.22
"305",0.3,"Premium","D","SI1",61.6,58,709,4.32,4.29,2.65
"306",0.74,"Ideal","D","VVS2",61.4,56,5841,5.82,5.87,3.58
"307",0.3,"Ideal","G","VVS2",61.5,55,684,4.3,4.32,2.65
"308",0.51,"Good","F","VS2",63.2,56.5,1569,5.05,5.08,3.2
"309",1.28,"Ideal","E","VS1",61.7,57,11419,6.93,6.97,4.29
"310",0.41,"Ideal","H","VVS1",61.5,55,945,4.79,4.81,2.95
"311",0.71,"Very Good","J","VS1",62.4,58,2061,5.67,5.7,3.55
"312",1.5,"Good","I","SI2",58.5,60,6731,7.41,7.5,4.36
"313",1.02,"Ideal","H","VVS2",62.1,56,6797,6.5,6.45,4.02
"314",0.8,"Ideal","F","SI1",60.5,57,3420,6.02,6.07,3.66
"315",0.33,"Ideal","D","VS2",60.9,55,1002,4.5,4.47,2.73
"316",0.3,"Ideal","I","SI2",62,55,360,4.32,4.33,2.68
"317",1.02,"Very Good","F","VVS2",63.7,59,9728,6.34,6.38,4.05
"318",1.15,"Very Good","E","VS2",62.9,56,6929,6.65,6.68,4.19
"319",2.01,"Premium","G","SI1",62.3,61,16242,7.96,7.89,5.02
"320",1.11,"Ideal","G","VS2",62,56,7608,6.65,6.62,4.12
"321",1.01,"Very Good","F","VVS1",62.9,57,10019,6.35,6.41,4.01
"322",0.75,"Premium","E","VS2",61.8,58,3206,5.83,5.85,3.61
"323",1.5,"Very Good","J","VVS2",62.2,57,9306,7.25,7.31,4.53
"324",1.37,"Ideal","G","IF",62.3,54,13439,7.11,7.15,4.43
"325",0.6,"Ideal","E","SI1",61.3,56,1890,5.49,5.44,3.35
"326",0.72,"Premium","G","SI1",60.6,62,2246,5.81,5.77,3.51
"327",0.92,"Ideal","I","SI1",61.8,57,4488,6.22,6.27,3.86
"328",0.7,"Very Good","F","SI1",62.5,59,2672,5.66,5.54,3.5
"329",0.51,"Very Good","D","VVS2",62.4,58,2220,5.1,5.13,3.19
"330",0.31,"Ideal","E","IF",63,55,1214,4.34,4.37,2.73
"331",0.79,"Ideal","G","SI2",60.8,57,2453,5.99,5.96,3.63
"332",0.32,"Very Good","I","SI1",63.5,57,540,4.33,4.3,2.74
"333",0.71,"Very Good","J","VVS1",59.7,58,2218,5.8,5.83,3.47
"334",0.61,"Premium","I","VS1",60,61,1614,5.53,5.5,3.31
"335",0.71,"Very Good","F","SI2",61.4,56,3075,5.71,5.73,3.51
"336",0.9,"Good","H","VVS1",63.8,59,4847,6.09,6.13,3.9
"337",0.61,"Very Good","H","VVS2",61.4,57,1970,5.46,5.5,3.36
"338",1.2,"Very Good","G","SI1",62.8,60,6526,6.71,6.79,4.24
"339",0.54,"Ideal","G","VVS2",61.4,55,2424,5.28,5.31,3.25
"340",1.27,"Very Good","G","VVS2",61.5,58,10321,6.9,6.96,4.26
"341",1,"Ideal","F","VS2",61.7,58,6424,6.37,6.43,3.95
"342",0.3,"Ideal","G","VVS1",62.2,57,1013,4.31,4.27,2.67
"343",1.52,"Very Good","H","VVS2",63,60,11904,7.25,7.3,4.58
"344",0.31,"Very Good","E","VVS2",61.4,60,816,4.34,4.36,2.67
"345",0.51,"Good","E","SI1",63.9,56,1343,5.07,5.11,3.25
"346",0.73,"Premium","D","VS1",60,58,3557,5.9,5.86,3.53
"347",0.38,"Ideal","F","VS2",60.4,55,871,4.71,4.76,2.86
"348",1.37,"Premium","G","SI2",59.6,60,6495,7.24,7.18,4.3
"349",0.5,"Good","F","VS2",62.8,61,1447,4.94,5,3.12
"350",0.74,"Fair","F","VS2",61.1,68,2805,5.82,5.75,3.53
"351",0.71,"Premium","F","SI1",63,59,2381,5.69,5.62,3.56
"352",1.08,"Ideal","I","VS2",61.8,54.2,5357,6.57,6.6,4.07
"353",0.57,"Good","E","VVS1",59.1,65,2990,5.34,5.43,3.18
"354",0.31,"Ideal","E","VS2",61.6,56,872,4.38,4.32,2.68
"355",1.02,"Very Good","D","SI2",58.6,63,4583,6.56,6.54,3.84
